time,height
29.362,-2.0367873
29.397,-1.4202455
29.428,-0.349862
29.457,0.765201
29.489,1.8409877
29.521,2.3677692
29.55,2.2249317
29.587,1.4319637
29.625,0.16930598
29.658,-1.1861616
29.687,-2.0208628
29.713,-2.3961678
29.744,-2.1044974
29.778,-1.1601036
29.806,0.0062580705
29.838,1.1729898
29.875,2.0049217
29.903,2.1701527
29.931,1.7424092
29.96,0.8232384
29.99,-0.32784072
30.023998,-1.3216441
30.057,-1.8374393
30.085999,-1.7878041
30.117,-1.1698732
30.150002,-0.2167221
30.186,0.6922352
30.219002,1.3776965
30.256,1.5548773
30.287998,1.2016376
30.308998,0.45897546
30.34,-0.36636758
30.374,-1.0184264
30.404999,-1.2885962
30.433998,-1.0967839
30.467,-0.501802
30.498001,0.27179495
30.529999,0.917005
30.562,1.2303094
30.592,1.0747926
30.624,0.53097415
30.655998,-0.2867852
30.686,-1.0828278
30.719002,-1.5070362
30.762001,-1.4251755
30.797,-0.73481524
30.816002,0.046450686
30.841,1.0254178
30.872002,1.747452
30.904,2.0190492
30.937,1.6830933
30.967,0.7955656
30.999,-0.38481086
31.047,-1.642921
31.062,-2.185454
31.094002,-2.268439
31.127998,-1.6937513
31.159,-0.6429008
31.189,0.56611156
31.220001,1.6270957
31.251999,2.1787539
31.292,2.0900443
31.327,1.418037
31.348999,0.39201006
31.383999,-0.6456695
31.414001,-1.4974144
31.439999,-1.7942104
31.473999,-1.542199
31.506,-0.7994202
31.535,0.087282896
31.566002,0.86104333
31.606998,1.2967942
31.637001,1.1775248
31.667,0.6417103
31.696999,-0.1266655
31.729,-0.806558
31.761002,-1.1844829
31.792,-1.0896924
31.821999,-0.59102285
31.854,0.20303097
31.887001,0.9453486
31.923,1.4823203
31.948002,1.4819875
31.977001,1.0006497
32.017,0.14744467
32.042,-0.8562
32.072,-1.6389136
32.114,-1.9799311
32.15,-1.672271
32.172,-0.8859982
32.199,0.10557264
32.233,1.3039657
32.263,2.0416744
32.297,2.2436857
32.324,1.8442581
32.357,0.87663734
32.388,-0.35809106
32.445,-1.664341
32.458,-2.2323651
32.48,-2.2601159
32.514,-1.7291126
32.549,-0.7031647
32.573,0.4253584
32.605,1.4405544
32.637,2.0502832
32.682,1.9859549
32.708,1.4378669
32.74,0.46189302
32.765,-0.53052723
32.796,-1.3732977
32.828,-1.7610375
32.861,-1.6188439
32.891,-1.0363015
32.925,-0.18300599
32.954,0.6585175
32.988,1.2525599
33.022,1.4091926
33.052,1.1383107
33.082,0.5761711
33.122,-0.12049937
33.146,-0.70662093
33.199,-1.0846078
33.221,-1.0704112
33.241,-0.7930386
33.273,-0.33431202
33.309,0.23801431
33.337,0.59617466
33.371,0.7960228
33.398,0.7764893
33.455,0.5390896
33.475,0.262222
33.499,-0.0022578984
33.525,-0.22728175
33.562,-0.37696153
33.591,-0.44405472
33.62,-0.46763408
33.651,-0.4710078
33.683,-0.4580521
33.718,-0.40701693
33.77,-0.27100873
33.784,-0.054807246
33.82,0.28288388
33.845,0.63574004
33.876,0.9629615
33.908,1.1535814
33.942,1.0917866
33.979,0.75183296
34.001,0.17122844
34.035,-0.5907974
34.064,-1.2711651
34.105,-1.7481148
34.129,-1.8486245
34.158,-1.5316352
34.191,-0.8110808
34.25,1.1991115
34.256,1.1991115
34.283,1.8278966
34.317,2.2328131
34.347,2.1088295
34.377,1.523077
34.409,0.6414676
34.447,-0.53004515
34.482,-1.4219688
34.504,-2.0371401
34.535,-2.2257078
34.57,-1.9337679
34.598,-1.282244
34.631,-0.41636038
34.672,0.5389757
34.693,1.2695565
34.723,1.7513068
34.754,1.9254222
34.786,1.7478118
34.82,1.2756518
34.849,0.6278772
34.881,-0.12588501
34.912,-0.83006996
34.946,-1.4556623
34.979,-1.7956431
35.01,-1.8740264
35.049,-1.6390789
35.075,-1.0654424
35.106,-0.31544948
35.138,0.63351214
35.17,1.5053533
35.203,2.1527991
35.236,2.368588
35.263,2.1311662
35.295,1.3714232
35.33,0.18640545
35.357,-0.9035954
35.388,-2.012559
35.421,-2.6979866
35.454,-2.7955117
35.489,-2.2870765
35.521,-1.1513182
35.552,0.17415369
35.581,1.6089873
35.607,2.5575247
35.642,3.0176444
35.671,2.7608302
35.712,1.765182
35.754,0.34573787
35.771,-0.9642405
35.799,-2.1082807
35.838,-2.75683
35.866,-2.662748
